time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2026-03-02 07:58:20,22.3091432119219,39.0982728224506,0,Available with any HD 360 subscription,Available with any HD 360 subscription,3.17751322504,0.328084,0,0,0,30,5,0,3.17751322504,0,0,0,0,0,0,6.5, -3.3, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.952,3.934,0,0,0,0,0,118.04,3.17751322504,0,41,Motors_Started,"Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059)"
200,2026-03-02 07:58:21,22.3091432095119,39.098272850571,0,,,3.17751322504,0.328084,0,0.0095323821948,0.0095323821948,30,5,0,3.17751322504,0,0,0.0095323821948,0,0,0,6.6, -3.3, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.952,3.934,0,0,0,0,0,118.04,3.17751322504,0,41,Motors_Started,
400,2026-03-02 07:58:21,22.3091431915999,39.0982728762979,0,,,3.17751322504,0,0,0.019629757846,0.020400591204,30,5,0,3.17751322504,0,0,0.019629757846,0,0,0,6.8, -3.3, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.952,3.934,0,0,0,0,0,118.04,3.17751322504,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 20. Setting new Maximum Flight Altitude to 120m (394 ft)"
600,2026-03-02 07:58:21,22.3091431644972,39.0982728989941,0,,,3.17751322504,0,0,0.0310952437772,0.032909449872,30,5,0,3.17751322504,0,0,0.0310952437772,0,0,0,6.9, -3.3, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.952,3.934,0,0,0,0,0,118.04,3.17751322504,0,41,Motors_Started,
800,2026-03-02 07:58:21,22.3091431445795,39.0982729198716,0,,,3.17751322504,0,0,0.041048885828,0.043032153608,30,5,0,3.17751322504,0,0,0.041048885828,0,0,0,6.8, -3.3, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.952,3.934,0,0,0,0,0,118.04,3.17751322504,0,41,Motors_Started,
1000,2026-03-02 07:58:21,22.3091431311229,39.0982729368639,0,,,3.17751322504,0,0,0.048584647224,0.050582022616,30,5,0,3.17751322504,0,0,0.048584647224,0,0,0,6.9, -3.3, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.952,3.934,0,0,0,0,0,118.04,3.17751322504,0,41,Motors_Started,
1200,2026-03-02 07:58:22,22.3091431215851,39.0982729338443,0,,,3.17751322504,0,0,0.050000657768,0.054208006984,30,5,0,3.17751322504,0,0,0.050000657768,0,0,0,6.8, -3.3, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.952,3.934,0,0,0,0,0,118.04,3.17751322504,0,41,Motors_Started,
1400,2026-03-02 07:58:22,22.3091431134711,39.0982729165976,0,,,3.17751322504,0,0,0.04795931912,0.060738847088,30,5,0,3.17751322504,0,0,0.050000657768,0,0,0,6.9, -3.3, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.952,3.934,0,0,0,0,0,118.04,3.17751322504,0,41,Motors_Started,
1600,2026-03-02 07:58:22,22.3091430881782,39.0982728995046,0,,,3.17751322504,0,0,0.052103676208,0.07162237762,30,5,7.901,3.17751322504,0,0,0.052103676208,0,0,0,6.9, -3.2, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.952,3.934,0,0,0,0,1.706,118.04,3.17751322504,0,11,AutoTakeoff,
1800,2026-03-02 07:58:22,22.3091430358788,39.0982728838865,0,,,3.17751322504,0,0,0.067493768564,0.091418638096,30,5,7.901,3.17751322504,0,0,0.067493768564,0,0,0,6.8, -3.2, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.952,3.934,0,0,0,0,1.706,118.04,3.17751322504,0,11,AutoTakeoff,
2000,2026-03-02 07:58:22,22.3091429841514,39.0982728744554,0,,,3.17751322504,0,0,0.084935698256,0.11055774632,30,5,7.901,3.17751322504,0,0,0.084935698256,0,0,0,6.9, -3.5, 0,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.952,3.934,0,0,0,0,1.706,118.04,3.17751322504,0,11,AutoTakeoff,
2200,2026-03-02 07:58:23,22.3091430466609,39.0982729295823,0,,,3.17751322504,0,0.223694,0.070307745032,0.139992130464,30,5,7.901,3.17751322504,0,0.223694,0.084935698256,0.223694,0,-0.223694,6.2, -4.4, 2.6,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.952,3.934,0,0,0,0,1.706,118.04,3.17751322504,0,11,AutoTakeoff,
2400,2026-03-02 07:58:23,22.3091433273181,39.0982731660636,0,,,3.17751322504,0.328084,0.3131716,0.123388455392,0.26982612412,30,5,7.901,3.17751322504,0,0.3131716,0.123388455392,0.223694,0.223694,-0.894776,6.3, 2, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.952,3.934,0,0,0,0,1.706,118.04,3.17751322504,0,11,AutoTakeoff,
2600,2026-03-02 07:58:23,22.3091435024097,39.0982733432174,0.328084,,,3.50559722504,0.328084,0,0.205258864836,0.35732612692,30,5,7.894,3.50559722504,0.328084,0.3131716,0.205258864836,0,0,-1.11847,6.4, 1.5, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.957,3.942,0,0,0,0,3.005,118.04,3.50559722504,0.328084,11,AutoTakeoff,
2800,2026-03-02 07:58:23,22.3091434060632,39.0982734003795,0.656168,,,3.83368122504,0.328084,0,0.20753609588,0.39742783424,30,5,7.894,3.83368122504,0.656168,0.3131716,0.20753609588,0,0,-1.11847,6.4, -0.9, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.957,3.942,0,0,0,0,3.005,118.04,3.83368122504,0.656168,11,AutoTakeoff,
3000,2026-03-02 07:58:23,22.309143119317,39.0982734945138,1.312336,,,4.48984922504,0,0.223694,0.229350729124,0.50676510808,30,5,7.894,4.48984922504,1.312336,0.3131716,0.229350729124,-0.223694,0,-1.11847,6.3, -3.4, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.957,3.942,0,0,0,0,3.005,118.04,4.48984922504,1.312336,11,AutoTakeoff,
3200,2026-03-02 07:58:24,22.3091427811968,39.0982735704774,1.64042,,,4.81793322504,0,0.223694,0.2973999439,0.63276248744,30,5,7.894,4.81793322504,1.64042,0.3131716,0.2973999439,-0.223694,0,-0.894776,6.4, -4.3, -1.9,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.957,3.942,0,0,0,0,3.005,118.04,4.81793322504,1.64042,11,AutoTakeoff,
3400,2026-03-02 07:58:24,22.3091425329742,39.0982735735333,1.968504,,,5.14601722504,0,0,0.35444883024,0.72333335648,30,5,7.894,5.14601722504,1.968504,0.3131716,0.35444883024,0,0,-0.894776,6.4, -5.4, -1,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,75,3.957,3.942,0,0,0,0,3.005,118.04,5.14601722504,1.968504,11,AutoTakeoff,"Home Point updated (Code: 3000001)"
3600,2026-03-02 07:58:24,22.3091424519348,39.0982735303782,2.296588,,,5.47410122504,0,0,0.36603675712,0.75629595596,30,5,7.847,5.47410122504,2.296588,0.3131716,0.36603675712,0,0,-1.11847,6.3, -2.9, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,74,3.931,3.905,0,0,0,0,4.098,118.04,5.47410122504,2.296588,11,AutoTakeoff,
3800,2026-03-02 07:58:24,22.309142458685,39.0982734013443,2.624672,,,5.80218522504,0,0,0.3372047352,0.7999180046,30,5,7.847,5.80218522504,2.624672,0.3131716,0.36603675712,0,0,-0.894776,6.4, -2.1, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,74,3.931,3.905,0,0,0,0,4.098,118.04,5.80218522504,2.624672,11,AutoTakeoff,
4000,2026-03-02 07:58:24,22.3091424833574,39.0982732974302,2.952756,,,6.13026922504,0,0,0.310422910196,0.83612863568,30,5,7.847,6.13026922504,2.952756,0.3131716,0.36603675712,0,0,-1.11847,6.3, -1.2, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,74,3.931,3.905,0,0,0,0,4.098,118.04,6.13026922504,2.952756,11,AutoTakeoff,
4200,2026-03-02 07:58:25,22.309142428201,39.0982732289821,3.28084,,,6.45835322504,0,0,0.317161099388,0.86676840044,30,5,7.847,6.45835322504,3.28084,0.3131716,0.36603675712,0,0,-1.11847,6.3, -2.6, 0,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,74,3.931,3.905,0,0,0,0,4.098,118.04,6.45835322504,3.28084,11,AutoTakeoff,
4400,2026-03-02 07:58:25,22.3091423649911,39.0982731358297,3.28084,,,6.45835322504,0,0,0.326605653496,0.90576118384,30,5,7.847,6.45835322504,3.28084,0.3131716,0.36603675712,0,0,-0.894776,6.2, -3.4, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,6.6,0,0,74,3.931,3.905,0,0,0,0,4.098,118.04,6.45835322504,3.28084,11,AutoTakeoff,
